tv,err,link,dot_last2,dot_bar,wt2_trough,wt2_now,close,zone_low,zone_top,pct_of_range,wk_wt2,wk_wt1,range_pct,med_price,likely_pref,in_zone,pass_4h,pass_wk,flag,bucket
NYSE:CNA,,https://www.tradingview.com/chart/?symbol=NYSE%3ACNA,False,,-64.37139686751814,-20.915918701815407,48.45500183105469,41.81999969482422,45.00364009094238,0.49184590887201196,9.009271942160579,-0.14537555534132007,0.2829278857408569,47.68000030517578,False,False,False,False,False,
NYSE:RNR,,https://www.tradingview.com/chart/?symbol=NYSE%3ARNR,False,,-26.208023969050345,4.295780646436368,328.739990234375,277.7300109863281,292.41156896972655,0.8199644149586681,52.71663577356326,49.98583414738078,0.2010340572016452,309.45001220703125,False,False,False,False,False,
NASDAQ:LAMR,,https://www.tradingview.com/chart/?symbol=NASDAQ%3ALAMR,False,,-58.39678014886667,-42.21208400995414,147.8300018310547,123.70999908447266,133.50871829223632,0.5809249686105148,-1.3972106717976036,-11.31066292163263,0.2752494037393921,150.84500122070312,False,False,False,False,False,
NASDAQ:FWONA,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AFWONA,False,,-55.17303075012074,-46.150860923350386,86.91500091552734,74.05000305175781,79.76592153930665,0.5311726369897211,38.2175813575755,21.83865138588207,0.28936672012408293,83.69999694824219,False,False,False,False,False,
NYSE:TAK,,https://www.tradingview.com/chart/?symbol=NYSE%3ATAK,False,,-19.32332833452166,33.48337307294323,18.71500015258789,15.020000457763672,15.927420295715333,0.9609883887340908,54.14446132924639,56.883900653990956,0.22524893861130715,17.06999969482422,False,False,False,False,False,
NYSE:IX,,https://www.tradingview.com/chart/?symbol=NYSE%3AIX,False,,-13.207525806324215,10.664754781598244,39.68000030517578,29.18000030517578,32.114660629272464,0.8443907390756562,31.01369992534423,29.480787121200052,0.3225681353927619,38.54999923706055,False,False,False,False,False,
NASDAQ:REG,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AREG,False,,-69.2282190108162,-69.2282190108162,74.06999969482422,73.80999755859375,75.90095770263672,0.029345611548456985,-22.486120057529405,-27.63941259656358,0.11392569104786604,77.7699966430664,False,True,False,False,False,
NYSE:STE,,https://www.tradingview.com/chart/?symbol=NYSE%3ASTE,False,,-85.82588528353403,-60.955723891163466,210.32000732421875,199.38999938964844,208.87602111816406,0.27192451655518524,26.1169343544629,8.478311817237312,0.18437653459298045,218.0050048828125,False,False,False,False,False,
NASDAQ:SEIC,,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASEIC,True,2026-09-15 13:30,-64.00163862521376,-64.00163862521376,105.80999755859375,75.18000030517578,83.79400030517579,0.8391780069429581,69.57275313235003,61.83817388289703,0.4020266508639014,90.79000091552734,False,False,True,False,False,
NYSE:MKL,,https://www.tradingview.com/chart/?symbol=NYSE%3AMKL,False,,-37.67620462394225,-19.415239395105647,1792.6300048828125,1751.27001953125,1819.2592514648438,0.14356621284532886,-37.64447450177247,-42.01301843703094,0.15354316057410286,1876.280029296875,False,True,False,False,False,
NASDAQ:SSNC,,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASSNC,False,,-54.72028260421964,-13.094113781131492,81.29000091552734,61.869998931884766,67.23781867980956,0.85381415236819,53.882509497890766,50.42610430301536,0.3281159698790798,69.31999969482422,False,False,False,False,False,
NYSE:AFG,,https://www.tradingview.com/chart/?symbol=NYSE%3AAFG,False,,-46.897878803926,13.944359608628773,143.83999633789062,124.24500274658203,129.532580657959,0.8745816260406781,50.14769736969175,45.06853941387701,0.16649320004807702,134.57000732421875,False,False,False,False,False,
NASDAQ:FCNCA,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AFCNCA,False,,-24.838256956078897,3.0354869929542354,2162.449951171875,1764.5999755859375,1888.4291928710938,0.7582426530409508,45.963053463456646,38.337657244576725,0.2536314553436556,2068.75,False,False,False,False,False,
NASDAQ:EWBC,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AEWBC,False,,-15.74367212800552,0.652744778467372,128.72999572753906,103.29000091552734,111.16768026733398,0.762132921068673,22.64971411875454,14.947744424460865,0.2631246814821016,126.86000061035156,False,False,False,False,False,
NASDAQ:UMBF,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AUMBF,False,,-51.25462106314927,-51.25462106314927,137.47000122070312,107.55000305175781,118.28564074707032,0.6577270739076999,28.50885546485478,15.402070271914644,0.34254509931483673,132.8000030517578,False,False,False,False,False,
NYSE:CSL,,https://www.tradingview.com/chart/?symbol=NYSE%3ACSL,False,,-62.81535121507352,-62.81535121507352,324.3399963378906,322.4100036621094,338.59724279785155,0.028138107287156676,-8.215393962662587,-23.708538357948143,0.19745515531573574,347.3699951171875,False,True,False,False,False,
